utterance	representation
Is there an alternative route with less traffic	[IN:UPDATE_DIRECTIONS Is there an alternative route with less [SL:OBSTRUCTION_AVOID traffic ] ]
If I leave here at 7 am, when will I get to Los Angeles?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE at 7 am ] , when will I get to [SL:DESTINATION Los Angeles ] ? ]
Tell me when I will get to Yankee stadium if I leave Metropark at 5pm	[IN:GET_ESTIMATED_ARRIVAL Tell me when I will get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Yankee stadium ] ] ] if I leave [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP Metropark ] ] ] [SL:DATE_TIME_DEPARTURE at 5 pm ] ]
Doctor's office near me with a good rating	[IN:UNSUPPORTED Doctor 's office near me with a good rating ]
Which restaurants are open on Christmas day in Honolulu	[IN:UNSUPPORTED Which restaurants are open on Christmas day in Honolulu ]
How many miles is it from Orlando to San Diego	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE Orlando ] to [SL:DESTINATION San Diego ] ]
How far from here to Sunnyvale	[IN:GET_DISTANCE How far from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Sunnyvale ] ]
family-friendly restaurants near Lincoln Park Zoo	[IN:UNSUPPORTED family - friendly restaurants near Lincoln Park Zoo ]
What is the distance from Frankfurt, Germany to Nice, France	[IN:GET_DISTANCE What is the distance from [SL:SOURCE Frankfurt , Germany ] to [SL:DESTINATION Nice , France ] ]
what is the distance between tokyo and osaka	[IN:GET_DISTANCE what is the distance between [SL:SOURCE tokyo ] and [SL:DESTINATION osaka ] ]
Do you have a list of events happening near me with spots still available	[IN:UNSUPPORTED Do you have a list of events happening near me with spots still available ]
Who in my cruise group has responded that they want to go so far.	[IN:UNSUPPORTED Who in my cruise group has responded that they want to go so far . ]
When does Christmas break start for the local schools	[IN:UNSUPPORTED When does Christmas break start for the local schools ]
find me another way to get to the bank	[IN:UPDATE_DIRECTIONS find me another way to get to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the bank ] ] ] ]
can i be at giza square by 9PM if i left my home at 4 PM?	[IN:GET_ESTIMATED_ARRIVAL can i be at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP giza square ] ] ] [SL:DATE_TIME_ARRIVAL by 9PM ] if i left [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] home ] ] [SL:DATE_TIME_DEPARTURE at 4 PM ] ? ]
Are front row seats still available at the Tampa Convention Center	[IN:UNSUPPORTED_EVENT Are front row seats still available at the Tampa Convention Center ]
I'm meeting my friends at the bowling alley in an hour, will I be on time if I leave in five minutes?	[IN:GET_ESTIMATED_ARRIVAL I'm meeting my friends at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the bowling alley ] ] ] [SL:DATE_TIME_ARRIVAL in an hour ] , will I be on time if I leave [SL:DATE_TIME_DEPARTURE in five minutes ] ? ]
what time will the train arrive	[IN:GET_ESTIMATED_ARRIVAL what time will the [SL:METHOD_TRAVEL train ] arrive ]
When do we sign up for the marathon that is next month	[IN:UNSUPPORTED_EVENT When do we sign up for the marathon that is next month ]
can i make it to mark's house in 15 minutes	[IN:GET_ESTIMATED_ARRIVAL can i make it to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT mark ] 's house ] ] [SL:DATE_TIME_ARRIVAL in 15 minutes ] ]
Visiting hours at the hospital end at 8:30 pm. if I leave now, will i make it?	[IN:GET_ESTIMATED_ARRIVAL Visiting hours at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the hospital ] ] ] end [SL:DATE_TIME_ARRIVAL at 8 : 30 pm ] . if I leave [SL:DATE_TIME_DEPARTURE now ] , will i make it ? ]
Whats the distance between my home and New York City	[IN:GET_DISTANCE Whats the distance between [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] home ] ] and [SL:DESTINATION New York City ] ]
If I take I 95 will  I make it to Disney World by 7am tomorrow ?	[IN:GET_ESTIMATED_ARRIVAL If I take [SL:PATH I 95 ] will I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Disney World ] ] ] [SL:DATE_TIME_ARRIVAL by 7 am tomorrow ] ? ]
are there tickets available for the Stagg Bowl in Salem next week	[IN:UNSUPPORTED_EVENT are there tickets available for the Stagg Bowl in Salem next week ]
Is it possible to get to the beach until 9 pm with the current traffic conditions?	[IN:GET_ESTIMATED_ARRIVAL Is it possible to get to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the beach ] ] ] [SL:DATE_TIME_ARRIVAL until 9 pm ] with the current traffic conditions ? ]
freeway with less traffic	[IN:UPDATE_DIRECTIONS [SL:PATH freeway ] with less [SL:OBSTRUCTION_AVOID traffic ] ]
If I leave at 8 am, what time will I arrive at the aquarium?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE at 8 am ] , what time will I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the aquarium ] ] ] ? ]
How many miles is it to drive from Los Angeles to Chicago	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it to [SL:METHOD_TRAVEL drive ] from [SL:SOURCE Los Angeles ] to [SL:DESTINATION Chicago ] ]
What time do I need to leave home by to get to Fred Meyer's by 9:30pm?	[IN:GET_ESTIMATED_DEPARTURE What time do I need to leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] by to get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Fred Meyer ] ] ] 's [SL:DATE_TIME_ARRIVAL by 9 : 30 pm ] ? ]
Suggestions for a good Tappas place that's not too far	[IN:UNSUPPORTED Suggestions for a good Tappas place that 's not too far ]
What time should I leave from here to get to the Orpheum at 7:00 pm?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Orpheum ] ] ] [SL:DATE_TIME_ARRIVAL at 7 : 00 pm ] ? ]
Are there any tolls on my route	[IN:GET_INFO_ROUTE Are there any [SL:WAYPOINT [IN:GET_LOCATION [SL:CATEGORY_LOCATION tolls ] ] ] on my route ]
How far is Ferdonia, New York from New York City	[IN:GET_DISTANCE How far is [SL:DESTINATION Ferdonia , New York ] from [SL:SOURCE New York City ] ]
what is the distance from las vegas to missouri	[IN:GET_DISTANCE what is the distance from [SL:SOURCE las vegas ] to [SL:DESTINATION missouri ] ]
tell me whne to leave to make tulsa by 10 pm	[IN:GET_ESTIMATED_DEPARTURE tell me whne to leave to make [SL:DESTINATION tulsa ] [SL:DATE_TIME_ARRIVAL by 10 pm ] ]
what is the distance from usa to china	[IN:GET_DISTANCE what is the distance from [SL:SOURCE usa ] to [SL:DESTINATION china ] ]
What is the distance between New York, New York and Tokyo, Japan	[IN:GET_DISTANCE What is the distance between [SL:SOURCE New York , New York ] and [SL:DESTINATION Tokyo , Japan ] ]
Can I get to Columbus by 7:00 if I leave now?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION Columbus ] [SL:DATE_TIME_ARRIVAL by 7 : 00 ] if I leave [SL:DATE_TIME_DEPARTURE now ] ? ]
How far is it between Miami and Daytona	[IN:GET_DISTANCE How far is it between [SL:SOURCE Miami ] and [SL:DESTINATION Daytona ] ]
How many miles is it to Youngstown, Ohio from my home	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it to [SL:DESTINATION Youngstown , Ohio ] from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] home ] ] ]
list fun places near me	[IN:UNSUPPORTED_EVENT list fun places near me ]
Car dealerships having sales this weekend	[IN:UNSUPPORTED Car dealerships having sales this weekend ]
Seafood restaurants  in Alpharetta	[IN:UNSUPPORTED Seafood restaurants in Alpharetta ]
when do i need to leave to get to the airport at noon	[IN:GET_ESTIMATED_DEPARTURE when do i need to leave to get to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the airport ] ] ] [SL:DATE_TIME_ARRIVAL at noon ] ]
Can I get to downtown New Bern by 4 pm if I leave now?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER downtown ] [SL:LOCATION New Bern ] ] ] [SL:DATE_TIME_ARRIVAL by 4 pm ] if I leave [SL:DATE_TIME_DEPARTURE now ] ? ]
Where can I purchase tickets for the upcoming concert	[IN:UNSUPPORTED_EVENT Where can I purchase tickets for the upcoming concert ]
What weather is predicted for the rest of the week	[IN:UNSUPPORTED What weather is predicted for the rest of the week ]
how far is Seattle from Ohio	[IN:GET_DISTANCE how far is [SL:DESTINATION Seattle ] from [SL:SOURCE Ohio ] ]
what is the distance between Port St Lucie and Vero Beach	[IN:GET_DISTANCE what is the distance between [SL:SOURCE Port St Lucie ] and [SL:DESTINATION Vero Beach ] ]
Any parks near Fillmore that offer sledding on Saturday	[IN:UNSUPPORTED Any parks near Fillmore that offer sledding on Saturday ]
How far away is Sacramento, California from Louisville, Kentucky	[IN:GET_DISTANCE How far away is [SL:DESTINATION Sacramento , California ] from [SL:SOURCE Louisville , Kentucky ] ]
what time will i get to greenbrier state park if I leave now?	[IN:GET_ESTIMATED_ARRIVAL what time will i get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP greenbrier state park ] ] ] if I leave [SL:DATE_TIME_DEPARTURE now ] ? ]
Can I get from here to Greece before noon?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Greece ] [SL:DATE_TIME_ARRIVAL before noon ] ? ]
I want to go to a bar after the Colts game, where would you recommend	[IN:UNSUPPORTED I want to go to a bar after the Colts game , where would you recommend ]
if I want to go to Alexandria city now when will I arrive?	[IN:GET_ESTIMATED_ARRIVAL if I want to go to [SL:DESTINATION Alexandria city ] [SL:DATE_TIME_DEPARTURE now ] when will I arrive ? ]
alternative route that bypass traffic jam	[IN:UPDATE_DIRECTIONS alternative route that bypass [SL:OBSTRUCTION_AVOID traffic jam ] ]
If I leave mom and dads house, how many miles is it to Traverse City?	[IN:GET_DISTANCE If I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:TYPE_RELATION mom ] and [SL:TYPE_RELATION dads ] house ] ] , how many [SL:UNIT_DISTANCE miles ] is it to [SL:DESTINATION Traverse City ] ? ]
What is the earliest time I could get to Sandusky OH if I leave home at 8 a.m.?	[IN:GET_ESTIMATED_ARRIVAL What is the earliest time I could get to [SL:DESTINATION Sandusky OH ] if I leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_DEPARTURE at 8 a.m . ] ? ]
List all happy hour bars for tomorrow night in Brooklyn	[IN:UNSUPPORTED_EVENT List all happy hour bars for tomorrow night in Brooklyn ]
Is there uber service in this town	[IN:UNSUPPORTED Is there uber service in this town ]
Best Caribbean restaurants near Montreal	[IN:UNSUPPORTED Best Caribbean restaurants near Montreal ]
When should I leave home to be at the Superdome by noon?	[IN:GET_ESTIMATED_DEPARTURE When should I leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] to be at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Superdome ] ] ] [SL:DATE_TIME_ARRIVAL by noon ] ? ]
Do I need to leave early because of traffic today	[IN:GET_ESTIMATED_DEPARTURE Do I need to leave early because of traffic [SL:DATE_TIME_DEPARTURE today ] ]
How far is Oklahoma from Canada	[IN:GET_DISTANCE How far is [SL:DESTINATION Oklahoma ] from [SL:SOURCE Canada ] ]
Can I get from here to Sedona before midnight if I leave now	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Sedona ] [SL:DATE_TIME_ARRIVAL before midnight ] if I leave [SL:DATE_TIME_DEPARTURE now ] ]
how many miles from my house to Mikes	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Mikes ] ] ] ]
Pizzerias open in Manhattan at 1am tonight	[IN:UNSUPPORTED Pizzerias open in Manhattan at 1 am tonight ]
What's the distance between los Angeles downtown and south beach	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE los Angeles downtown ] and [SL:DESTINATION south beach ] ]
If I leave now what time will I get to Stop n Shop	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE now ] what time will I get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Stop n Shop ] ] ] ]
How much further to my destination	[IN:GET_DISTANCE How much further to [SL:DESTINATION my destination ] ]
If i leave my house at 6am when will i get to my moms?	[IN:GET_ESTIMATED_ARRIVAL If i leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] [SL:DATE_TIME_DEPARTURE at 6 am ] when will i get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION moms ] ] ] ? ]
When will I arrive to cairo airport If I leave now?	[IN:GET_ESTIMATED_ARRIVAL When will I arrive to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP cairo airport ] ] ] If I leave [SL:DATE_TIME_DEPARTURE now ] ? ]
How many miles between Rome and Paris	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE Rome ] and [SL:DESTINATION Paris ] ]
Best place to hear jazz in New York	[IN:UNSUPPORTED Best place to hear jazz in New York ]
Is there any tolls in the way	[IN:GET_INFO_ROUTE Is there any [SL:PATH tolls ] in the way ]
Meghan is leaving her house in 2 hours, about what time will she arrive to the beach house?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT Meghan ] is leaving her house ] ] [SL:DATE_TIME_DEPARTURE in 2 hours ] , about what time will she arrive to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the beach house ] ] ] ? ]
What are the best resturants near me	[IN:UNSUPPORTED What are the best resturants near me ]
What's the distance between the Philippines and the US in kilometers	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE the Philippines ] and [SL:DESTINATION the US ] in [SL:UNIT_DISTANCE kilometers ] ]
What time should I leave in the morning to get to the beach by noon?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave [SL:DATE_TIME_DEPARTURE in the morning ] to get to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the beach ] ] ] [SL:DATE_TIME_ARRIVAL by noon ] ? ]
Calculate the road distance to Nashville, Tennessee	[IN:GET_DISTANCE Calculate the road distance to [SL:DESTINATION Nashville , Tennessee ] ]
can i make an alternative route	[IN:UPDATE_DIRECTIONS can i make an alternative route ]
If I leave in 20 minutes, what time will I get to NYC	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE in 20 minutes ] , what time will I get to [SL:DESTINATION NYC ] ]
Tickets to the country music hall of fame	[IN:UNSUPPORTED_EVENT Tickets to the country music hall of fame ]
if there is an accident what is an alternative route	[IN:UPDATE_DIRECTIONS if there is an [SL:OBSTRUCTION_AVOID accident ] what is an alternative route ]
Where did I store all my photos of my second trip to London	[IN:UNSUPPORTED Where did I store all my photos of my second trip to London ]
If I leave my house at 7am will arrive by 10am to Roman's house in Maryland	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] [SL:DATE_TIME_DEPARTURE at 7 am ] will arrive [SL:DATE_TIME_ARRIVAL by 10 am ] to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Roman ] 's house in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER Maryland ] ] ] ] ] ]
distance between NYC and LA	[IN:GET_DISTANCE distance between [SL:SOURCE NYC ] and [SL:DESTINATION LA ] ]
How many miles until the next gas station	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] until [SL:DESTINATION [IN:GET_LOCATION the [SL:LOCATION_MODIFIER next ] [SL:CATEGORY_LOCATION gas station ] ] ] ]
Are there detours around this traffic	[IN:UPDATE_DIRECTIONS Are there detours around [SL:OBSTRUCTION_AVOID this traffic ] ]
What time will i get to Windward Mall in Kaneohe if i avoid H3 from Red Hill	[IN:GET_ESTIMATED_ARRIVAL What time will i get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Windward Mall ] in [SL:LOCATION_MODIFIER Kaneohe ] ] ] if i avoid [SL:PATH_AVOID H3 ] from [SL:SOURCE Red Hill ] ]
How many miles between Baltimore and Orlando	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE Baltimore ] and [SL:DESTINATION Orlando ] ]
is any restaurants in my neighborhood family friendly	[IN:UNSUPPORTED is any restaurants in my neighborhood family friendly ]
How long until Carol gets back to me?	[IN:UNSUPPORTED How long until Carol gets back to me ? ]
If I take the freeway, what time should I leave mom's to make it home by 5pm?	[IN:GET_ESTIMATED_DEPARTURE If I take [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION the freeway ] ] ] , what time should I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:TYPE_RELATION mom ] ] ] 's to make it [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_ARRIVAL by 5 pm ] ? ]
Can I make it to providence in 10 minutes right now	[IN:GET_ESTIMATED_ARRIVAL Can I make it to [SL:DESTINATION providence ] [SL:DATE_TIME_ARRIVAL in 10 minutes ] [SL:DATE_TIME_DEPARTURE right now ] ]
what time is the best time for me to go home in the evenings to avoid traffic	[IN:GET_ESTIMATED_DEPARTURE what time is the best time for me to go [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_DEPARTURE in the evenings ] to avoid [SL:OBSTRUCTION_AVOID traffic ] ]
Dog parks near me	[IN:UNSUPPORTED_EVENT Dog parks near me ]
how far away is washington dc	[IN:GET_DISTANCE how far away is [SL:DESTINATION washington dc ] ]
I want to know how far it is to get from San Juan Puerto Rico to New York City	[IN:GET_DISTANCE I want to know how far it is to get from [SL:SOURCE San Juan Puerto Rico ] to [SL:DESTINATION New York City ] ]
If I take the 11 Hwy can I make it to Yuma by 4 pm	[IN:GET_ESTIMATED_ARRIVAL If I take [SL:PATH the 11 Hwy ] can I make it to [SL:DESTINATION Yuma ] [SL:DATE_TIME_ARRIVAL by 4 pm ] ]
how far is it to the post office	[IN:GET_DISTANCE how far is it to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the post office ] ] ] ]
I'm leaving for the mall at 4, what time will I arrive?	[IN:GET_ESTIMATED_ARRIVAL I'm leaving for [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the mall ] ] ] [SL:DATE_TIME_DEPARTURE at 4 ] , what time will I arrive ? ]
take me where there is less traffic	[IN:UPDATE_DIRECTIONS take me where there is less [SL:OBSTRUCTION_AVOID traffic ] ]
show me the distance between San Antonio and Austin	[IN:GET_DISTANCE show me the distance between [SL:SOURCE San Antonio ] and [SL:DESTINATION Austin ] ]
bars that allow dogs near charlotte	[IN:UNSUPPORTED bars that allow dogs near charlotte ]
my battery died	[IN:UNSUPPORTED my battery died ]
when is the best time to leave	[IN:GET_ESTIMATED_DEPARTURE when is the best time to leave ]
What is the distance between Englewood, New jersey to Orlando, Florida	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Englewood , New jersey ] to [SL:DESTINATION Orlando , Florida ] ]
What is the distance from Phoenix to Los Feliz	[IN:GET_DISTANCE What is the distance from [SL:SOURCE Phoenix ] to [SL:DESTINATION Los Feliz ] ]
how far is it from Sally job from here?	[IN:UNSUPPORTED how far is it from Sally job from here ? ]
How many kilometers between New York and California	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE kilometers ] between [SL:SOURCE New York ] and [SL:DESTINATION California ] ]
How far is it to Seattle from Des Moines	[IN:GET_DISTANCE How far is it to [SL:DESTINATION Seattle ] from [SL:SOURCE Des Moines ] ]
How long before we arrive at Disneyland	[IN:GET_ESTIMATED_ARRIVAL How long before we arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Disneyland ] ] ] ]
How many miles between here and Hatch, New Mexico	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] and [SL:DESTINATION Hatch , New Mexico ] ]
How many miles is Albertson's from Walmart	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Albertson 's ] ] ] from [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP Walmart ] ] ] ]
where can I lift weights in Las Vegas	[IN:UNSUPPORTED where can I lift weights in Las Vegas ]
Where should I make dinner reservations in the city tonight	[IN:UNSUPPORTED Where should I make dinner reservations in the city tonight ]
If I take the mass pike what time can I be in downtown Worcester	[IN:GET_ESTIMATED_ARRIVAL If I take [SL:PATH the mass pike ] what time can I be in [SL:DESTINATION downtown Worcester ] ]
how far is it from Duluth to Rapid City	[IN:GET_DISTANCE how far is it from [SL:SOURCE Duluth ] to [SL:DESTINATION Rapid City ] ]
What time should I leave to make it to the Iguatemi Cinemark Movie Theater by 6pm?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave to make it to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Iguatemi Cinemark Movie Theater ] ] ] [SL:DATE_TIME_ARRIVAL by 6 pm ] ? ]
family restaurants near brookfield zoo	[IN:UNSUPPORTED family restaurants near brookfield zoo ]
please tell me the distance it is between Gainesville Florida and Port St Lucy Florida	[IN:GET_DISTANCE please tell me the distance it is between [SL:SOURCE Gainesville Florida ] and [SL:DESTINATION Port St Lucy Florida ] ]
how many miles does it take to drive from New York to New Jersey	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] does it take to [SL:METHOD_TRAVEL drive ] from [SL:SOURCE New York ] to [SL:DESTINATION New Jersey ] ]
How many of my friends have attended a Furry convention?	[IN:UNSUPPORTED How many of my friends have attended a Furry convention ? ]
how many miles is it from new orleans to san antonio	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE new orleans ] to [SL:DESTINATION san antonio ] ]
What's the distance between Florida and Louisiana	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Florida ] and [SL:DESTINATION Louisiana ] ]
What's the distance from El Paso to Houston	[IN:GET_DISTANCE What 's the distance from [SL:SOURCE El Paso ] to [SL:DESTINATION Houston ] ]
How far in miles is it between Atlanta and Detroit	[IN:GET_DISTANCE How far in [SL:UNIT_DISTANCE miles ] is it between [SL:SOURCE Atlanta ] and [SL:DESTINATION Detroit ] ]
If I leave home at 8am, what time will I arrive at Progressive Field?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] [SL:DATE_TIME_DEPARTURE at 8 am ] , what time will I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Progressive Field ] ] ] ? ]
What is the distance between Baltimore and New York City	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Baltimore ] and [SL:DESTINATION New York City ] ]
when will it be when I arrive at my mom's house	[IN:GET_ESTIMATED_ARRIVAL when will it be when I arrive at [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION mom ] 's house ] ] ]
can i get to walmart before 11 if i leave now	[IN:GET_ESTIMATED_ARRIVAL can i get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP walmart ] ] ] [SL:DATE_TIME_ARRIVAL before 11 ] if i leave [SL:DATE_TIME_DEPARTURE now ] ]
How many floors did the old Purks Middle School	[IN:UNSUPPORTED How many floors did the old Purks Middle School ]
If I fly from New York  at 5 am, when will I get to Seattle?	[IN:GET_ESTIMATED_ARRIVAL If I [SL:METHOD_TRAVEL fly ] from [SL:SOURCE New York ] [SL:DATE_TIME_DEPARTURE at 5 am ] , when will I get to [SL:DESTINATION Seattle ] ? ]
Beaches on Caribbean side of Costa Rica	[IN:UNSUPPORTED_EVENT Beaches on Caribbean side of Costa Rica ]
Would I arrive by 6pm at the Meadowlands if I leave my house at 3?	[IN:GET_ESTIMATED_ARRIVAL Would I arrive [SL:DATE_TIME_ARRIVAL by 6 pm ] at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Meadowlands ] ] ] if I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] [SL:DATE_TIME_DEPARTURE at 3 ] ? ]
if you won a million dollars, what would you do	[IN:UNSUPPORTED if you won a million dollars , what would you do ]
Distance between Lodi California and San Jose	[IN:GET_DISTANCE Distance between [SL:SOURCE Lodi California ] and [SL:DESTINATION San Jose ] ]
Leaving the yoga studio at 7pm, what's the earliest I can be at the beach?	[IN:GET_ESTIMATED_ARRIVAL Leaving [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION the yoga studio ] ] ] [SL:DATE_TIME_DEPARTURE at 7 pm ] , what 's the earliest I can be at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the beach ] ] ] ? ]
How many miles to Harrisburg PA	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] to [SL:DESTINATION Harrisburg PA ] ]
What is the distance between Chicago and LA	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Chicago ] and [SL:DESTINATION LA ] ]
When will I arrive in St. Louis if I leave from Caribou in an hour?	[IN:GET_ESTIMATED_ARRIVAL When will I arrive in [SL:DESTINATION St . Louis ] if I leave from [SL:SOURCE Caribou ] [SL:DATE_TIME_DEPARTURE in an hour ] ? ]
What time should I leave the hotel to arrive at Disneyworld when it opens?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION the hotel ] ] ] to arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Disneyworld ] ] ] when it opens ? ]
is there a way around this traffic	[IN:UPDATE_DIRECTIONS is there a way around [SL:OBSTRUCTION_AVOID this traffic ] ]
How far is the nearest gas station from the east terminal at the airport in Cleveland?	[IN:GET_DISTANCE How far is [SL:DESTINATION [IN:GET_LOCATION the [SL:LOCATION_MODIFIER nearest ] [SL:CATEGORY_LOCATION gas station ] ] ] from [SL:SOURCE [IN:GET_LOCATION [SL:CATEGORY_LOCATION the east terminal ] at [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:CATEGORY_LOCATION the airport ] ] ] in [SL:LOCATION_MODIFIER Cleveland ] ] ] ? ]
how many miles  to texas	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] to [SL:DESTINATION texas ] ]
Can we go around the heavy traffic areas	[IN:UPDATE_DIRECTIONS Can we go around the heavy [SL:OBSTRUCTION_AVOID traffic ] areas ]
When does Samuel start soccer?	[IN:UNSUPPORTED When does Samuel start soccer ? ]
What clubs are open in Atlanta tonight	[IN:UNSUPPORTED_EVENT What clubs are open in Atlanta tonight ]
